FECHA FACT.,FACTURA DATAICO,ORDEN DATAICO,ORDEN SIGES,VALOR SIGES,ESTADO,MOTIVO,VERIFICACION
03/06/2025 08:01:22,FEEJ42927,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:01:31,FEEJ42928,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:01:40,FEEJ42929,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:01:50,FEEJ42930,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:01:59,FEEJ42931,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:02:08,FEEJ42932,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:02:17,FEEJ42933,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:02:27,FEEJ42934,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:02:36,FEEJ42935,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:02:45,FEEJ42936,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:02:54,FEEJ42937,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:03:03,FEEJ42938,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:03:11,FEEJ42939,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:03:21,FEEJ42940,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:03:31,FEEJ42941,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:03:40,FEEJ42942,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:03:49,FEEJ42943,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:03:57,FEEJ42944,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:04:06,FEEJ42945,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:04:15,FEEJ42946,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:04:23,FEEJ42947,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:04:32,FEEJ42948,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:04:41,FEEJ42949,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:04:50,FEEJ42950,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:04:58,FEEJ42951,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:05:07,FEEJ42952,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:05:17,FEEJ42953,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:05:27,FEEJ42954,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:05:37,FEEJ42955,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:05:46,FEEJ42956,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:06:04,FEEJ42958,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:06:13,FEEJ42959,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:06:22,FEEJ42960,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:06:31,FEEJ42961,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:06:40,FEEJ42962,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:06:49,FEEJ42963,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:06:59,FEEJ42964,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:07:09,FEEJ42965,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:07:18,FEEJ42966,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:07:27,FEEJ42967,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:07:37,FEEJ42968,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:07:45,FEEJ42969,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:07:54,FEEJ42970,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:08:03,FEEJ42971,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:08:13,FEEJ42972,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:08:21,FEEJ42973,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:08:30,FEEJ42974,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:08:39,FEEJ42975,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:08:48,FEEJ42976,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:08:57,FEEJ42977,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:09:06,FEEJ42978,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:09:15,FEEJ42979,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:09:24,FEEJ42980,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:09:32,FEEJ42981,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:09:42,FEEJ42982,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:09:51,FEEJ42983,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:10:03,FEEJ42984,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:10:12,FEEJ42985,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:10:22,FEEJ42986,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:10:31,FEEJ42987,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:10:40,FEEJ42988,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:10:48,FEEJ42989,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:11:09,FEEJ42990,369,,,NO SUBIDA,REPETIDA,CANASTILLA
